id,batch_id,event_type,target_temperature_c,target_stirrer_rpm,target_shake_speed_cpm,reason,created_at,previous_hash,event_hash
13644,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:25.591781250+00:00,,
13643,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:23.551198996+00:00,,
13642,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:21.409261279+00:00,,
13641,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:19.017783809+00:00,,
13640,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:16.846826089+00:00,,
13639,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:13.367322626+00:00,,
13638,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:11.135077555+00:00,,
13637,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:09.096981558+00:00,,
13636,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:07.043068153+00:00,,
13635,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:05.001790572+00:00,,
13634,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:02.953831612+00:00,,
13633,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:54:00.911402673+00:00,,
13632,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:58.867969679+00:00,,
13631,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:56.832995885+00:00,,
13630,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:54.791384643+00:00,,
13629,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:52.748862678+00:00,,
13628,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:50.669420719+00:00,,
13627,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:47.287467031+00:00,,
13626,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:45.251763116+00:00,,
13625,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:43.203541125+00:00,,
13624,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:41.161829856+00:00,,
13623,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:39.119951104+00:00,,
13622,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:37.059818213+00:00,,
13621,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:35.016321632+00:00,,
13620,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:32.966389254+00:00,,
13619,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:30.919025484+00:00,,
13618,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:28.878191476+00:00,,
13617,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:26.836073125+00:00,,
13616,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:24.794318634+00:00,,
13615,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:22.752381508+00:00,,
13614,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:20.713758730+00:00,,
13613,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:18.672792851+00:00,,
13612,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:16.614434600+00:00,,
13611,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:14.535220505+00:00,,
13610,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:11.649114867+00:00,,
13609,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:09.610544807+00:00,,
13608,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:07.534803717+00:00,,
13607,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:05.503348018+00:00,,
13606,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:03.461614545+00:00,,
13605,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:53:01.411779959+00:00,,
